,trade_date,ts_code,industry,name,close,pct_chg,amount,limit_amount,float_mv,total_mv,turnover_ratio,fd_amount,first_time,last_time,open_times,up_stat,limit_times,limit
0,20250808,000010.SZ,工程建设,美丽生态,4.64,9.95,336336608.0,,3394411075.04,5334386616.32,10.25,49919904.0,95100,95100,0,1/1,1.0,U
1,20250808,000501.SZ,商业百货,武商集团,11.68,9.98,368195008.0,,8973672646.88,8981835156.48,4.11,145764227.0,93000,93000,0,1/1,1.0,U
2,20250808,000534.SZ,生物制品,万泽股份,17.25,10.01,942316784.0,,8588058969.75,8794667964.0,11.51,164768532.0,131100,131100,0,3/6,1.0,U
3,20250808,000702.SZ,农牧饲渔,正虹科技,8.43,10.05,661307712.0,,2247729475.68,2922048277.92,29.85,2800446.0,95006,145633,11,1/1,1.0,U
4,20250808,000877.SZ,水泥建材,天山股份,5.8,10.06,679915520.0,,41240843125.2,41240851558.4,1.7,68266846.0,133930,133930,0,1/1,1.0,U
5,20250808,000901.SZ,汽车零部件,航天科技,16.95,9.99,1275015728.0,,13529377807.95,13529513865.6,9.66,115589796.0,93651,94112,1,3/4,1.0,U
6,20250808,001278.SZ,汽车零部件,一彬科技,20.23,10.01,226168904.0,,1022312955.23,2503126682.0,22.94,64970668.0,135845,135845,0,1/1,1.0,U
7,20250808,001379.SZ,通用设备,腾达科技,22.67,4.37,430465728.0,,1525691000.0,4534000000.0,27.83,,105521,,2,0/0,,Z
8,20250808,002046.SZ,通用设备,国机精工,31.05,9.99,3945998352.0,,16372112341.05,16651085133.6,24.77,70997843.0,94427,144827,10,5/5,5.0,U
9,20250808,002072.SZ,贸易行业,凯瑞德,7.68,7.56,230790568.0,,2414291328.0,2823782400.0,9.49,,93200,,4,1/2,,Z
10,20250808,002075.SZ,钢铁行业,沙钢股份,7.01,6.53,1825084640.0,,15378691659.2,15378716334.4,11.82,,110951,,8,0/0,,Z
11,20250808,002097.SZ,工程机械,山河智能,17.33,10.03,4638788608.0,,18589486153.87,18623117185.12,26.26,119726973.0,105906,111933,3,9/15,1.0,U
12,20250808,002164.SZ,通用设备,宁波东力,10.51,10.05,640533536.0,,5042437541.18,5593145544.96,12.81,73427862.0,93048,94106,1,1/1,1.0,U
13,20250808,002173.SZ,医疗服务,创新医疗,17.6,0.74,3254695840.0,,7326958196.8,7766604595.2,41.42,,93139,,4,2/4,,Z
14,20250808,002189.SZ,光学光电,中光学,28.87,4.15,1123896480.0,,7539686919.27,7540823011.51,14.67,,94921,,1,0/0,,Z
15,20250808,002205.SZ,水泥建材,国统股份,14.37,10.03,304825280.0,,2670567186.36,2670567186.36,11.95,91084245.0,132451,132451,0,1/1,1.0,U
16,20250808,002302.SZ,水泥建材,西部建设,7.05,9.98,576263632.0,,8899597843.2,8899597843.2,6.74,133697983.0,133248,133248,0,1/1,1.0,U
17,20250808,002307.SZ,工程建设,北新路桥,4.61,10.02,725564624.0,,5846824193.02,5846824202.24,12.64,114238105.0,130048,130048,0,1/1,1.0,U
18,20250808,002313.SZ,通信设备,日海智能,14.96,10.0,1836697152.0,,5600966778.0,5601024000.0,34.54,38814258.0,132515,145506,6,4/4,4.0,U
19,20250808,002471.SZ,电网设备,中超控股,4.97,9.96,1267219664.0,,6485833912.11,6802737200.0,20.0,101792558.0,95724,95724,0,1/1,1.0,U
20,20250808,002536.SZ,汽车零部件,飞龙股份,21.3,5.29,2709761120.0,,11596086360.0,12242939414.4,23.72,,131806,,1,0/0,,Z
21,20250808,002543.SZ,家电行业,万和电气,13.86,7.44,360307648.0,,9169928501.58,10306296000.0,4.01,,144251,,2,0/0,,Z
22,20250808,002551.SZ,医疗器械,尚荣医疗,4.64,9.95,162985656.0,,2835119390.4,3923094832.64,5.75,79412036.0,92500,92500,0,2/2,2.0,U
23,20250808,002622.SZ,医疗服务,皓宸医疗,3.14,3.63,369265840.0,,2637522285.0,2637600000.0,13.66,,93112,,2,0/0,,Z
24,20250808,002664.SZ,汽车零部件,信质集团,24.42,10.0,861835504.0,,9830908068.96,9968244000.0,9.07,45408062.0,130015,130015,0,1/1,1.0,U
25,20250808,002674.SZ,纺织服装,兴业科技,11.78,9.99,295942688.0,,3446399820.56,3481590120.32,8.92,56404795.0,102506,102506,0,1/1,1.0,U
26,20250808,002706.SZ,电网设备,良信股份,11.15,9.96,1066646240.0,,10202133928.5,12522844017.6,10.85,75806620.0,112151,112151,0,2/4,1.0,U
27,20250808,002731.SZ,珠宝首饰,萃华珠宝,14.86,7.06,521729952.0,,3412694104.0,3806478160.0,15.72,,144209,,1,0/0,,Z
